18	23
-83	0
-51	-2
-5	-18
115	-36
20	7
-34	-73
-102	25
50	25
22	77
-75	160
40	-111
-18	37
-59	0
21	-12
-31	22
144	-29
-41	-150
-87	42
45	-128
37	80
-1	-58
134	3
41	8
37	-100
-13	62
-22	159
147	2
-128	95
10	-103
109	4
2	-9
115	-108
39	22
16	-81
100	-33
138	93
-45	-4
-33	-48
-58	1
51	-42
-27	-178
-7	-52
-67	30
-6	5
5	-6
-24	-85
-30	-7
126	-69
38	-45
18	-73
-158	-75
-69	-254
-40	-95
-83	2
-57	-76
-71	-28
6	-19
-61	40
-67	68
-32	17
13	4
10	39
37	52
1	-88
88	137
-35	2
47	-30
-40	17
20	-91
-8	97
78	-5
159	100
-78	-99
-26	-13
4	-53
3	20
-80	-27
-4	27
-20	65
-38	-35
-65	6
41	-68
22	77
-66	11
-13	-42
-36	91
-58	-67
-49	20
-20	91
-44	-37
-45	-104
-49	42
55	64
-63	72
-16	-11
-59	-36
16	-9
22	63
-66	-83
26	-47
12	-79
66	-7
-64	11
-36	-91
-128	-97
26	9
62	5
-77	-40
-13	-102
81	32
40	-67
106	21
71	-52
49	-22
-52	23
-29	-20
81	220
-133	-164
-25	-44
60	-25
-67	102
10	-27
-27	72
1	76
43	-36
89	-40
-22	113
66	23
-140	-35
-55	86
164	5
-48	95
20	-3
-2	-51
107	66
30	-161
-93	2
69	-8
-87	102
49	-132
110	73
28	11
96	-119
-18	79
75	148
6	-149
-35	46
42	-27
62	163
-24	67
-54	101
-6	27
-46	31
75	90
36	-35
13	74
-121	64
116	21
55	-138
-5	-90
76	9
37	58
43	-162
42	-61
55	-96
4	53
2	17
19	-14
73	32
-116	133
-53	-42
13	-42
43	-40
-12	-97
-15	-84
-67	26
-96	93
-63	46
-63	60
-38	9
-33	64
-1	-30
112	73
-23	-54
50	-7
66	-43
47	142
55	68
-5	-72
28	159
198	-35
8	47
58	65
61	30
80	-69
57	38
-49	80
-3	-48
6	-77
-53	-78
13	54
-69	30
-40	83
-72	23
64	-51
-4	51
38	19
-36	87
54	55
-38	-117
77	-20
-51	-10
-143	-46
77	-12
-51	32
105	2
48	65
-119	-90
85	-54
-20	-43
30	-29
72	-25
188	-65
-18	39
5	-64
58	-9
8	-119
111	-116
125	-18
25	88
54	-53
-48	29
6	-69
-67	32
123	26
58	45
28	23
-25	-126
-24	65
71	-30
-120	-163
-4	-47
61	22
22	87
26	-5
-88	33
-58	-33
66	45
-57	60
40	-11
50	49
137	-126
-50	-7
33	6
60	191
-104	-21
13	-26
-138	-129
-84	45
76	-9
-34	51
59	-16
0	55
-81	0
75	62
-63	-58
37	-66
-5	56
37	58
25	14
-61	-70
95	26
139	-72
-41	-20
38	-45
-54	45
-9	40
-160	133
57	-72
-101	80
-32	-97
-56	43
17	88
-25	-82
-91	42
-64	43
-97	26
101	48
33	-18
52	105
6	103
-37	-12
34	-67
-61	42
64	-17
27	-56
-92	3
63	-42
35	18
-51	58
-8	19
99	4
-33	14
-99	-46
32	5
128	7
-14	-49
-57	-160
-79	-30
-75	-54
-33	38
-22	-51
76	7
26	-35
-60	-23
-144	-87
3	24
-40	-39
-11	42
51	-46
-201	120
5	-40
-268	97
1	110
8	-63
24	15
-71	-40
149	72
84	-105
-83	-76
26	-29
-121	110
-13	-48
97	-66
30	11
-81	2
-94	-5
-4	29
70	39
-3	6
-71	-114
30	-49
52	3
-10	-45
102	17
-69	-6
-98	-45
-111	-40
-55	60
5	-108
-36	-29
15	96
35	14
-53	-44
-40	13
62	-21
-146	83
-40	-13
42	11
141	72
-102	-47
31	-46
18	-35
-90	-5
-27	60
152	21
-78	67
-44	49
71	142
-17	40
-15	-28
60	51
16	83
-47	118
-17	18
-34	23
85	10
-7	8
124	-69
-51	78
51	20
4	29
-67	-10
137	30
36	-63
16	59
-9	-60
116	111
-96	-87
71	-40
-4	-71
-46	37
29	20
-35	54
-93	6
68	13
-5	8
7	108
-80	27
-53	30
17	-12
-112	65
20	103
51	48
-27	174
-33	-36
100	-35
128	5
-56	-69
-32	-69
-27	-48
-76	17
-123	-72
-16	99
-73	68
70	59
-29	-52
50	-51
78	105
67	10
71	-48
45	70
-69	-12
121	2
-41	22
63	-36
29	-76
0	-71
-113	26
-58	19
215	4
-124	63
-67	-148
36	-59
53	26
109	-56
-20	-71
35	-10
-56	-165
17	108
99	-84
19	-2
19	98
32	-41
-6	-85
-55	-80
-5	-104
4	-109
-44	93
-22	35
51	100
77	-38
146	-113
-94	-57
-124	73
-47	-90
-69	-40
28	-51
55	-78
51	4
54	19
-62	15
-22	25
-24	-43
-64	-87
41	136
56	-11
34	-47
-15	28
21	-10
-28	-31
-127	-54
41	0
-19	18
-18	-89
-78	71
128	47
36	-33
123	16
-59	-54
41	12
69	80
7	6
-10	-35
121	70
65	106
129	0
34	121
105	-180
-3	-94
-103	38
114	-9
108	69
-62	-49
151	-50
-28	65
85	54
-119	-80
-87	-34
107	86
132	5
142	69
125	70
23	8
-21	12
-63	48
-109	-44
-14	-81
44	-49
-17	-10
62	127
11	-24
-66	-41
37	-12
57	128
33	52
3	0
-7	-66
-37	68
169	-82
-12	77
-101	-20
94	1
2	31
-32	23
46	43
-64	-57
58	65
64	-139
39	32
-126	41
155	-106
21	-16
-178	69
-44	-49
21	4
10	41
-11	62
34	145
-2	-51
3	-8
-55	30
215	-108
41	-20
-71	18
-30	43
-216	-15
-88	-51
-46	-135
-27	-42
-27	-42
44	-5
13	10
73	-128
58	55
-12	137
1	-60
-113	18
1	28
-32	-71
-85	14
153	12
38	59
-13	24
105	-8
-8	23
9	-46
43	48
75	46
39	-76
156	15
35	38
-12	-15
-73	4
-16	35
-39	-56
13	-76
52	-19
22	-89
-9	-56
67	110
-117	-38
17	18
56	-67
163	-46
-35	30
43	146
-50	117
-82	73
-32	85
20	-103
-51	-22
73	10
-11	90
41	-12
-24	149
80	9
30	27
-81	44
-21	-28
23	-16
-34	-219
49	-10
94	31
-141	80
-91	-14
144	19
-12	47
43	38
-77	28
-71	0
-17	-12
-66	79
14	-73
39	18
56	127
-125	36
34	-5
-33	112
41	-10
-18	-47
-107	14
37	-78
62	-13
32	-59
-87	86
-61	60
-46	-3
82	35
67	36
-77	34
101	-30
-9	-16
-114	11
-61	34
-65	92
18	3
38	-141
-38	123
-32	33
-71	56
-56	-1
21	34
-103	34
61	54
157	24
84	-37
55	-62
-65	12
24	-41
20	-95
