-3.000000	-34.992366	-34.992366	-34.992366
-2.989983	-34.934245	-34.934245	-49.859737
-2.979967	-34.876076	-34.876076	-57.178509
-2.969950	-34.817857	-34.817857	-59.588716
-2.959933	-34.759589	-34.759589	-58.967918
-2.949917	-34.701271	-34.701271	-56.624038
-2.939900	-34.642903	-34.642903	-53.444168
-2.929883	-34.584484	-34.584484	-50.008959
-2.919866	-34.526014	-34.526014	-46.679220
-2.909850	-34.467492	-34.467492	-43.661384
-2.899833	-34.408918	-34.408918	-41.056155
-2.889816	-34.350292	-34.350292	-38.894275
-2.879800	-34.291612	-34.291612	-37.162442
-2.869783	-34.232879	-34.232879	-35.821709
-2.859766	-34.174092	-34.174092	-34.820215
-2.849750	-34.115250	-34.115250	-34.101761
-2.839733	-34.056354	-34.056354	-33.611306
-2.829716	-33.997402	-33.997402	-33.298254
-2.819699	-33.938394	-33.938394	-33.118195
-2.809683	-33.879329	-33.879329	-33.033578
-2.799666	-33.820207	-33.820208	-33.013700
-2.789649	-33.761028	-33.761029	-33.034243
-2.779633	-33.701791	-33.701791	-33.076588
-2.769616	-33.642495	-33.642496	-33.127012
-2.759599	-33.583140	-33.583141	-33.175863
-2.749583	-33.523726	-33.523726	-33.216776
-2.739566	-33.464251	-33.464251	-33.245959
-2.729549	-33.404715	-33.404715	-33.261568
-2.719533	-33.345118	-33.345118	-33.263178
-2.709516	-33.285459	-33.285459	-33.251344
-2.699499	-33.225738	-33.225738	-33.227253
-2.689482	-33.165953	-33.165953	-33.192451
-2.679466	-33.106105	-33.106105	-33.148640
-2.669449	-33.046192	-33.046192	-33.097528
-2.659432	-32.986215	-32.986215	-33.040732
-2.649416	-32.926172	-32.926172	-32.979709
-2.639399	-32.866063	-32.866063	-32.915722
-2.629382	-32.805887	-32.805887	-32.849832
-2.619366	-32.745644	-32.745644	-32.782891
-2.609349	-32.685332	-32.685333	-32.715563
-2.599332	-32.624952	-32.624953	-32.648337
-2.589316	-32.564503	-32.564503	-32.581555
-2.579299	-32.503984	-32.503984	-32.515432
-2.569282	-32.443394	-32.443394	-32.450085
-2.559265	-32.382732	-32.382732	-32.385549
-2.549249	-32.321999	-32.321999	-32.321801
-2.539232	-32.261192	-32.261192	-32.258779
-2.529215	-32.200312	-32.200312	-32.196393
-2.519199	-32.139358	-32.139358	-32.134538
-2.509182	-32.078329	-32.078329	-32.073106
-2.499165	-32.017225	-32.017225	-32.011988
-2.489149	-31.956044	-31.956043	-31.951085
-2.479132	-31.894785	-31.894785	-31.890307
-2.469115	-31.833449	-31.833449	-31.829577
-2.459098	-31.772034	-31.772034	-31.768829
-2.449082	-31.710540	-31.710540	-31.708013
-2.439065	-31.648965	-31.648965	-31.647088
-2.429048	-31.587309	-31.587309	-31.586027
-2.419032	-31.525572	-31.525572	-31.524811
-2.409015	-31.463751	-31.463751	-31.463430
